id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
1484,26BW00039,7,02/16/2026 11:05 AM,2026-02-15 00:01:00,,Student reported they were indecently assaulted by a known person in a residence hall,RESIDENCE HALL,2026-02-21 20:58:08,2026-02-15,2026,2,February,0,Sunday,True,Late Night
1485,26BW00040,7,02/16/2026 11:05 AM,2026-02-15 00:00:00,,Student reported being harassed,ORCHARD HALL,2026-02-21 20:58:08,2026-02-15,2026,2,February,0,Sunday,True,Late Night
1486,26SH00001,20,02/16/2026 09:45 AM,2026-02-16 09:45:00,,Employee requested assistance with an administrative matter,SHARON HALL,2026-02-21 20:58:08,2026-02-16,2026,2,February,9,Monday,False,Morning
1487,26HB00081,13,02/16/2026 09:30 AM,2026-02-16 09:30:00,02/16/2026 09:45 AM,Employee reported abandoned property,OLMSTED DRIVE LOT - HARRISBURG,2026-02-21 20:58:08,2026-02-16,2026,2,February,9,Monday,False,Morning
1488,26ER00049,5,02/15/2026 08:15 PM,2026-02-15 20:15:00,02/15/2026 09:12 PM,Employee reported a fire alarm activation,VARIOUS ON-CAMPUS BUILDINGS AND RESIDENCE HALLS,2026-02-21 20:58:08,2026-02-15,2026,2,February,20,Sunday,True,Evening
1489,26AL00075,3,02/15/2026 07:08 PM,2026-02-15 19:00:00,02/15/2026 07:08 PM,Student reported being physically assaulted by a known person,SPRUCE HALL,2026-02-21 20:58:08,2026-02-15,2026,2,February,19,Sunday,True,Evening
1490,26BW00038,7,02/15/2026 10:25 AM,2026-02-15 10:25:00,,Student requested assistance with a personal matter,ORCHARD HALL,2026-02-21 20:58:08,2026-02-15,2026,2,February,10,Sunday,True,Morning
1491,26HB00078,13,02/15/2026 09:45 AM,2025-12-31 00:00:00,02/15/2026 09:45 AM,Student reported being harassed,MAHANOY HOUSE,2026-02-21 20:58:08,2025-12-31,2025,12,December,0,Wednesday,False,Late Night
1492,26HB00077,13,02/14/2026 10:04 PM,2026-02-14 22:04:00,02/14/2026 10:14 PM,Student reported being harassed,MAHANOY HOUSE,2026-02-21 20:58:08,2026-02-14,2026,2,February,22,Saturday,True,Late Night
1493,26ER00048,5,02/14/2026 09:03 PM,2026-02-14 21:03:00,02/14/2026 09:30 PM,Student reported a suspicious odor,NIAGARA HALL,2026-02-21 20:58:08,2026-02-14,2026,2,February,21,Saturday,True,Evening
1494,26BW00037,7,02/14/2026 04:57 PM,2026-02-14 16:57:00,02/14/2026 05:58 PM,Employee reported disorderly persons,COMMONS & ATHLETIC CENTER,2026-02-21 20:58:08,2026-02-14,2026,2,February,16,Saturday,True,Afternoon
1495,26AL00074,3,02/14/2026 02:55 PM,2026-02-14 14:55:00,02/14/2026 04:40 PM,Visitor reported a concern for a student,SPRUCE HALL,2026-02-21 20:58:08,2026-02-14,2026,2,February,14,Saturday,True,Afternoon
1496,26BW00041,7,02/14/2026 10:56 AM,2026-02-16 10:56:00,,Student reported they were indecently assaulted by a known person in a residencehall,RESIDENCE HALL,2026-02-21 20:58:08,2026-02-16,2026,2,February,10,Monday,False,Morning
1497,26AL00073,3,02/14/2026 09:29 AM,2026-02-13 17:00:00,02/13/2026 09:29 AM,Employee reported damage to University property,OAK HALL,2026-02-21 20:58:08,2026-02-13,2026,2,February,17,Friday,False,Evening
1498,26MA00003,17,02/14/2026 06:01 AM,2026-02-14 05:26:00,02/14/2026 05:29 AM,Student reported the theft of their unattended personal property,MONT ALTO HALL,2026-02-21 20:58:08,2026-02-14,2026,2,February,5,Saturday,True,Morning
1499,26SL00017,19,02/14/2026 02:06 AM,2026-02-14 02:06:00,02/14/2026 02:38 AM,Assisted a student with a personal matter,STUDENT PARKING LOT - SCHUYLKILL,2026-02-21 20:58:08,2026-02-14,2026,2,February,2,Saturday,True,Late Night
1500,26BW00036,7,02/13/2026 06:16 PM,2026-02-13 17:40:00,02/13/2026 06:16 PM,Assisted the ambulance with a medical emergency,ORCHARD HALL,2026-02-21 20:58:08,2026-02-13,2026,2,February,17,Friday,False,Evening
1501,26WS00006,22,02/13/2026 10:20 AM,2026-02-13 10:20:00,02/13/2026 11:30 AM,Employee requested assistance in locating another employee,CAMAC AVE,2026-02-21 20:58:08,2026-02-13,2026,2,February,10,Friday,False,Morning
1502,26BW00035,7,02/13/2026 09:19 AM,2026-02-13 09:19:00,02/13/2026 10:17 AM,Employee reported suspicious activity,EDWARD S J TOMEZSKO CLASSROOM BUILDING,2026-02-21 20:58:08,2026-02-13,2026,2,February,9,Friday,False,Morning
1503,26BW00034,7,02/13/2026 05:34 AM,2026-02-13 05:34:00,02/13/2026 05:42 AM,Employee reported an intrusion alarm activation,MAIN BUILDING,2026-02-21 20:58:08,2026-02-13,2026,2,February,5,Friday,False,Morning
1504,26ER00047,5,02/13/2026 12:00 AM,2026-02-13 00:00:00,,Student reported a suspicious odor,NIAGARA HALL,2026-02-21 20:58:08,2026-02-13,2026,2,February,0,Friday,False,Late Night
1505,26BW00033,7,02/12/2026 02:03 PM,2026-02-12 14:03:00,,Student reported suspicious person,COMMONS & ATHLETIC CENTER,2026-02-21 20:58:08,2026-02-12,2026,2,February,14,Thursday,False,Afternoon
1506,26HB00073,13,02/12/2026 01:41 PM,2026-02-11 15:30:00,02/11/2026 04:00 PM,Employee reported a concern for another employee,OLMSTED BUILDING,2026-02-21 20:58:08,2026-02-11,2026,2,February,15,Wednesday,False,Afternoon
1507,26AL00072,3,02/12/2026 12:05 PM,2026-02-12 12:05:00,,Employee reported suspicious activity,PORT SKY CAFE,2026-02-21 20:58:08,2026-02-12,2026,2,February,12,Thursday,False,Afternoon
1508,26BR00008,6,02/12/2026 02:49 AM,2026-02-12 02:49:00,02/12/2026 03:00 AM,Student reported a concern for another student,HARMONY HALL,2026-02-21 20:58:08,2026-02-12,2026,2,February,2,Thursday,False,Late Night
1509,26AL00071,3,02/12/2026 12:48 AM,2026-02-12 00:48:00,,Assisted the ambulance with a medical emergency,OAK HALL,2026-02-21 20:58:08,2026-02-12,2026,2,February,0,Thursday,False,Late Night
1510,26MA00002,17,02/11/2026 12:05 PM,2026-02-09 19:40:00,02/10/2026 12:35 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE ACTIVITIES CENTER,2026-02-21 20:58:08,2026-02-09,2026,2,February,19,Monday,False,Evening
1511,26HN00017,15,02/24/2026 04:25 AM,2026-02-24 04:25:00,02/24/2025 04:50 AM,Employee reported an intrusion alarm activation,DINING HALL,2026-02-25 02:54:48,2026-02-24,2026,2,February,4,Tuesday,False,Late Night
1512,2026-00002453,1,02/24/2026 03:20 AM,2025-12-25 00:00:00,02/24/2026 03:20 AM,Student reported being harassed,SOUTH HALLS RESIDENCE COMPLEX,2026-02-25 02:54:48,2025-12-25,2025,12,December,0,Thursday,False,Late Night
1513,26AB00072,2,02/24/2026 02:30 AM,2026-02-24 02:25:00,02/24/2026 03:00 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48,2026-02-24,2026,2,February,2,Tuesday,False,Late Night
1514,2026-00002439,1,02/23/2026 10:53 PM,2026-02-23 22:53:00,02/23/2026 11:00 PM,Employee reported a suspicious odor,STONE HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,22,Monday,False,Late Night
1515,2026-00002438,1,02/23/2026 10:10 PM,2026-02-22 18:58:00,,Student reported being harassed,BRUMBAUGH HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,18,Sunday,True,Evening
1516,2026-00002432,1,02/23/2026 08:53 PM,2026-02-23 20:53:00,02/23/2026 09:15 PM,Employee reported a suspcious vehicle,EAST PARKING DECK,2026-02-25 02:54:48,2026-02-23,2026,2,February,20,Monday,False,Evening
1517,26BK00040,4,02/23/2026 05:46 PM,2026-02-23 17:46:00,02/23/2026 05:58 PM,,OAKMOSS HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,17,Monday,False,Evening
1518,26ER00054,5,02/23/2026 05:20 PM,2026-02-13 18:00:00,02/20/2026 10:00 PM,Student reported the theft of their unattended personal property,NIAGARA HALL,2026-02-25 02:54:48,2026-02-13,2026,2,February,18,Friday,False,Evening
1519,26AL00091,3,02/23/2026 03:26 PM,2026-02-23 15:26:00,02/23/2026 04:00 PM,Assisted an outside law enforcement agency with an investigation,PARKSIDE DR,2026-02-25 02:54:48,2026-02-23,2026,2,February,15,Monday,False,Afternoon
1520,2026-00002417,1,02/23/2026 02:18 PM,2026-02-23 14:00:00,02/23/2026 02:15 PM,Employee reported a two vehicle crash with no injuries,EAST PARKING DECK,2026-02-25 02:54:48,2026-02-23,2026,2,February,14,Monday,False,Afternoon
1521,26AL00090,3,02/23/2026 12:45 PM,2026-02-22 23:47:00,02/22/2023 11:48 PM,Employee reported suspicious activity,HAWTHORN LOT - ALTOONA,2026-02-25 02:54:48,2026-02-22,2026,2,February,23,Sunday,True,Late Night
1522,2026-00002416,1,02/23/2026 12:21 PM,2026-02-23 12:21:00,02/23/2026 01:10 PM,Visitor requested assistance in locating a student,MCELWAIN HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,12,Monday,False,Afternoon
1523,26AL00089,3,02/23/2026 12:19 PM,2026-02-22 16:15:00,02/22/2026 06:30 PM,Student reported suspicious persons,OAK HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,16,Sunday,True,Afternoon
1524,26HB00088,13,02/23/2026 11:52 AM,2026-02-20 17:00:00,02/23/2026 11:30 AM,Employee reported suspicious activity,OLMSTED BUILDING,2026-02-25 02:54:48,2026-02-20,2026,2,February,17,Friday,False,Evening
1525,2026-00002410,1,02/23/2026 09:43 AM,2026-02-23 07:03:00,02/23/2026 07:04 AM,Employee reported a one vehicle crash with no injuries,HUB PARKING DECK,2026-02-25 02:54:48,2026-02-23,2026,2,February,7,Monday,False,Morning
1526,26SH00002,20,02/23/2026 09:24 AM,2026-02-23 09:15:00,,Employee requested assistance with an administrative matter,BLACK AND BASHORE BUILDING SIDEWALK AREA,2026-02-25 02:54:48,2026-02-23,2026,2,February,9,Monday,False,Morning
1527,2026-00002409,1,02/23/2026 09:11 AM,2026-02-23 06:00:00,02/23/2026 09:00 AM,Assisted the ambulance with a medical emergency,HAFFNER HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,6,Monday,False,Morning
1528,2026-00002407,1,02/23/2026 08:43 AM,2026-02-21 00:00:00,02/21/2026 04:00 PM,Employee reported suspcious activity,EAST PARKING DECK,2026-02-25 02:54:48,2026-02-21,2026,2,February,0,Saturday,True,Late Night
1529,26AL00088,3,02/23/2026 12:47 AM,2026-02-23 00:47:00,02/23/2026 03:00 AM,Students found in possession of marijuana and drug paraphernalia,OAK HALL,2026-02-25 02:54:48,2026-02-23,2026,2,February,0,Monday,False,Late Night
1530,2026-00002397,1,02/23/2026 12:05 AM,2026-02-22 23:49:00,02/23/2026 12:05 AM,Employee reported a hit and run crash,HUB PARKING DECK,2026-02-25 02:54:48,2026-02-22,2026,2,February,23,Sunday,True,Late Night
1531,26HB00087,13,02/22/2026 11:42 PM,2026-02-22 23:42:00,02/22/2026 11:55 PM,Employee reported a fire alarm activation,FALCON HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,23,Sunday,True,Late Night
1532,PSHI-2026-02-I-134166,1,02/22/2026 11:08 PM,2026-02-22 22:34:00,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-25 02:54:48,2026-02-22,2026,2,February,22,Sunday,True,Late Night
1533,PSHI-2026-02-I-134165,1,02/22/2026 11:07 PM,2026-02-22 20:51:00,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48,2026-02-22,2026,2,February,20,Sunday,True,Evening
1534,26ER00053,5,02/22/2026 09:25 PM,2026-02-22 21:25:00,02/22/2026 10:30 PM,Student reported a suspicious person,SENAT HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,21,Sunday,True,Evening
1535,26AB00061,2,02/22/2026 09:00 PM,2026-02-22 20:50:00,02/22/2026 08:55 PM,Employee reported afire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48,2026-02-22,2026,2,February,20,Sunday,True,Evening
1536,26AL00087,3,02/22/2026 07:25 PM,2026-02-22 19:25:00,02/22/2026 07:40 PM,Student reported a concern for another student,OAK HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,19,Sunday,True,Evening
1537,2026-00002379,1,02/22/2026 06:34 PM,2026-02-22 18:34:00,02/22/2026 07:50 PM,Assisted the fire department with a reported smoke condition,BEAM HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,18,Sunday,True,Evening
1538,26AL00086,3,02/22/2026 05:50 PM,2026-02-20 12:00:00,02/21/2026 08:30 PM,Student reported damage to their personally owned vehicle,MAPLE LOT - GMA - ALTOONA,2026-02-25 02:54:48,2026-02-20,2026,2,February,12,Friday,False,Afternoon
1539,PSHI-2026-02-I-134161,1,02/22/2026 04:25 PM,2026-02-22 14:08:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,2026-02-25 02:54:48,2026-02-22,2026,2,February,14,Sunday,True,Afternoon
1540,PSHI-2026-02-I-134160,1,02/22/2026 04:09 PM,2026-02-22 15:39:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-22,2026,2,February,15,Sunday,True,Afternoon
1541,PSHI-2026-02-I-134155,1,02/22/2026 02:47 PM,2026-02-22 13:43:00,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-22,2026,2,February,13,Sunday,True,Afternoon
1542,26AB00060,2,02/22/2026 02:10 PM,2026-02-22 14:10:00,02/22/2026 02:40 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48,2026-02-22,2026,2,February,14,Sunday,True,Afternoon
1543,26AL00085,3,02/22/2026 02:08 PM,2026-02-22 14:08:00,02/22/2026 02:24 PM,Assisted an outside law enforcement agency with an investigation,JUNIATA GAP RD & BECKERS LN,2026-02-25 02:54:48,2026-02-22,2026,2,February,14,Sunday,True,Afternoon
1544,26SL00020,19,02/22/2026 01:48 PM,2026-02-22 13:48:00,02/22/2026 02:00 PM,Employee reported a University policy violation,HEALTH & WELLNESS BUILDING,2026-02-25 02:54:48,2026-02-22,2026,2,February,13,Sunday,True,Afternoon
1545,2026-00002365,1,02/22/2026 01:03 PM,2026-01-22 00:00:00,02/22/2026 01:03 PM,Student reported being harassed,DEIKE BLDG,2026-02-25 02:54:48,2026-01-22,2026,1,January,0,Thursday,False,Late Night
1546,26AL00084,3,02/22/2026 12:00 PM,2026-02-22 12:00:00,02/22/2026 12:21 PM,Assisted an outside law enforcement agency with an investigation,CAMPUS VIEW DR,2026-02-25 02:54:48,2026-02-22,2026,2,February,12,Sunday,True,Afternoon
1547,2026-00002358,1,02/22/2026 07:01 AM,2026-02-22 06:55:00,02/22/2026 07:01 AM,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-25 02:54:48,2026-02-22,2026,2,February,6,Sunday,True,Morning
1548,PSHI-2026-02-I-134146,1,02/22/2026 05:44 AM,2026-02-22 05:05:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 3 - Acute Care Medical Oncology       > HMC - Main Hospital - 3 - Acute Care Medical Oncology,2026-02-25 02:54:48,2026-02-22,2026,2,February,5,Sunday,True,Morning
1549,PSHI-2026-02-I-134145,1,02/22/2026 05:38 AM,2026-02-22 04:59:00,,,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-25 02:54:48,2026-02-22,2026,2,February,4,Sunday,True,Late Night
1550,26SL00019,19,02/22/2026 03:40 AM,2026-02-22 03:30:00,02/22/2026 03:40 AM,Assisted an outside law enforcement agency with an investigation,DOCK ST,2026-02-25 02:54:48,2026-02-22,2026,2,February,3,Sunday,True,Late Night
1551,PSHI-2026-02-I-134144,1,02/22/2026 03:05 AM,2026-02-22 02:13:00,,Assisted clinical staff with moving a patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-22,2026,2,February,2,Sunday,True,Late Night
1552,2026-00002352,1,02/22/2026 02:19 AM,2026-02-22 02:00:00,02/22/2026 02:19 AM,Student reported a hit and run crash,MCKEAN RD,2026-02-25 02:54:48,2026-02-22,2026,2,February,2,Sunday,True,Late Night
1553,2026-00002349,1,02/22/2026 01:05 AM,2026-02-22 01:02:00,02/22/2026 01:49 AM,Assisted ambulance with a medical emergency,MCKEE HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,1,Sunday,True,Late Night
1554,2026-00002350,1,02/22/2026 12:56 AM,2026-02-22 00:56:00,02/22/2026 01:15 AM,Underage student observed highly intoxicated and transported to the hospital,STUART HALL,2026-02-25 02:54:48,2026-02-22,2026,2,February,0,Sunday,True,Late Night
1555,PSHI-2026-02-I-134140,1,02/22/2026 12:35 AM,2026-02-21 22:32:00,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48,2026-02-21,2026,2,February,22,Saturday,True,Late Night
1556,PSHI-2026-02-I-134139,1,02/21/2026 11:20 PM,2026-02-21 22:15:00,,Assisted clinical staff with property damage.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-25 02:54:48,2026-02-21,2026,2,February,22,Saturday,True,Late Night
1557,PSHI-2026-02-I-134138,1,02/21/2026 11:08 PM,2026-02-21 22:48:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-21,2026,2,February,22,Saturday,True,Late Night
1558,PSHI-2026-02-I-134137,1,02/21/2026 10:31 PM,2026-02-21 21:49:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48,2026-02-21,2026,2,February,21,Saturday,True,Evening
1559,26BR00013,6,02/21/2026 10:21 PM,2026-02-21 22:21:00,02/21/2026 10:54 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,22,Saturday,True,Late Night
1560,PSHI-2026-02-I-134136,1,02/21/2026 09:59 PM,2026-02-17 02:00:00,,Investigate suspicious activity.,Hershey - Reported Location: HMC - Main Hospital - 1,2026-02-25 02:54:48,2026-02-17,2026,2,February,2,Tuesday,False,Late Night
1561,26AL00083,3,02/21/2026 09:30 PM,2026-02-21 20:20:00,02/21/2026 11:20 PM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,POPLAR LOT - BPO - ALTOONA,2026-02-25 02:54:48,2026-02-21,2026,2,February,20,Saturday,True,Evening
1562,26ER00052,5,02/21/2026 09:00 PM,2026-02-20 15:30:00,02/20/2026 11:00 PM,Student reported the theft of their unattended personal property,ALMY HALL,2026-02-25 02:54:48,2026-02-20,2026,2,February,15,Friday,False,Afternoon
1563,PSHI-2026-02-I-134134,1,02/21/2026 08:03 PM,2026-02-21 18:27:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-21,2026,2,February,18,Saturday,True,Evening
1564,2026-00002332,1,02/21/2026 08:00 PM,2026-02-21 20:00:00,,Conducted a background investigation for a ride-along,UNIVERSITY SUPPORT BLDG I,2026-02-25 02:54:48,2026-02-21,2026,2,February,20,Saturday,True,Evening
1565,26SL00018,19,02/21/2026 05:30 PM,2026-02-21 13:42:00,02/21/2026 01:43 PM,Employee reported accidental damage to University property,UNIVERISITY DR,2026-02-25 02:54:48,2026-02-21,2026,2,February,13,Saturday,True,Afternoon
1566,26AB00059,2,02/21/2026 04:43 PM,2026-02-21 16:43:00,02/21/2026 05:03 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48,2026-02-21,2026,2,February,16,Saturday,True,Afternoon
1568,PSHI-2026-02-I-134122,1,02/21/2026 03:32 PM,2026-02-21 14:59:00,,Visitor issue.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48,2026-02-21,2026,2,February,14,Saturday,True,Afternoon
1569,PSHI-2026-02-I-134121,1,02/21/2026 03:12 PM,2026-02-21 14:00:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 7 > HMC - Children's Hospital - 7,2026-02-25 02:54:48,2026-02-21,2026,2,February,14,Saturday,True,Afternoon
1570,PSHI-2026-02-I-134120,1,02/21/2026 03:05 PM,2026-02-21 14:50:00,,Assisted visitor with return of personal property.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-25 02:54:48,2026-02-21,2026,2,February,14,Saturday,True,Afternoon
1571,26BR00012,6,02/21/2026 02:06 PM,2026-02-21 14:06:00,02/21/2026 02:11 PM,Employee reported suspicious activity,UNIVERSITY DR,2026-02-25 02:54:48,2026-02-21,2026,2,February,14,Saturday,True,Afternoon
1572,26BK00037,4,02/21/2026 12:45 PM,2026-02-21 07:00:00,02/21/2026 12:45 PM,Employee reported a parking concern,CLARY DR,2026-02-25 02:54:48,2026-02-21,2026,2,February,7,Saturday,True,Morning
1573,2026-00002307,1,02/21/2026 10:12 AM,2026-02-21 10:00:00,02/21/2026 10:15 AM,Employee reported loud music,IKENBERRY HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,10,Saturday,True,Morning
1574,26HB00086,13,02/21/2026 10:08 AM,2026-02-21 10:08:00,02/21/2026 10:25 AM,Assisted an outside law enforcement agency with an investigation,W MAIN ST,2026-02-25 02:54:48,2026-02-21,2026,2,February,10,Saturday,True,Morning
1575,PSHI-2026-02-I-134112,1,02/21/2026 08:42 AM,2026-02-21 08:35:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-21,2026,2,February,8,Saturday,True,Morning
1576,PSHI-2026-02-I-134110,1,02/21/2026 05:29 AM,2026-02-21 04:17:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-21,2026,2,February,4,Saturday,True,Late Night
1577,2026-00002303,1,02/21/2026 04:03 AM,2026-02-20 23:45:00,02/21/2026 03:45 AM,Student reported accidental damage to personal property,STADIUM WEST (SMALL LOT) LOT,2026-02-25 02:54:48,2026-02-20,2026,2,February,23,Friday,False,Late Night
1578,2026-00002301,1,02/21/2026 02:12 AM,2026-02-21 02:12:00,02/21/2026 02:31 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,N ATHERTON ST & CURTIN RD,2026-02-25 02:54:48,2026-02-21,2026,2,February,2,Saturday,True,Late Night
1579,26AL00082,3,02/21/2026 02:09 AM,2026-02-21 02:09:00,02/21/2026 02:38 AM,Underage student observed highly intoxicated,CEDAR HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,2,Saturday,True,Late Night
1580,26AL00081,3,02/21/2026 01:13 AM,2026-02-21 01:13:00,02/21/2026 01:47 AM,Assisted an outside law enforcement agency with an investigation,GWIN RD,2026-02-25 02:54:48,2026-02-21,2026,2,February,1,Saturday,True,Late Night
1581,2026-00002299,1,02/21/2026 01:10 AM,2026-02-21 01:05:00,02/21/2026 01:18 AM,"Resident Assistant reported the odor of marijuana, origin not located",PENNYPACKER HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,1,Saturday,True,Late Night
1582,2026-00002294,1,02/21/2026 12:22 AM,2026-02-21 00:15:00,02/21/2026 12:22 AM,Student reported accidental damage to University property,GEARY HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,0,Saturday,True,Late Night
1583,PSHI-2026-02-I-134105,1,02/21/2026 12:08 AM,2026-02-20 23:30:00,,,Hershey - Dispatched To: HMC - 30 Hope Drive - 1 - Radiology East > HMC - 30 Hope Drive - 1 - Radiology East,2026-02-25 02:54:48,2026-02-20,2026,2,February,23,Friday,False,Late Night
1584,2026-00002289,1,02/20/2026 11:24 PM,2026-02-20 23:24:00,02/20/2026 11:32 PM,Assisted an outside law enforcement agency with an investigation,DEANS WAY,2026-02-25 02:54:48,2026-02-20,2026,2,February,23,Friday,False,Late Night
1585,26AL00080,3,02/20/2026 11:08 PM,2026-02-20 23:08:00,02/20/2026 11:18 PM,Assisted an outside law enforcement agency with an investigation,N 8TH ST & N 3RD AVE,2026-02-25 02:54:48,2026-02-20,2026,2,February,23,Friday,False,Late Night
1586,2026-00002271,1,02/20/2026 08:32 PM,2026-02-20 20:32:00,,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-25 02:54:48,2026-02-20,2026,2,February,20,Friday,False,Evening
1587,2026-00002267,1,02/20/2026 07:04 PM,2026-02-15 15:00:00,02/20/2026 07:00 PM,Student reported the theft of their unsecured personal property,SHUNK HALL,2026-02-25 02:54:48,2026-02-15,2026,2,February,15,Sunday,True,Afternoon
1588,PSHI-2026-02-I-134098,1,02/20/2026 06:20 PM,2026-02-20 18:12:00,,Assisted visitor with release of personal property.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-25 02:54:48,2026-02-20,2026,2,February,18,Friday,False,Evening
1589,PSHI-2026-02-I-134097,1,02/20/2026 05:56 PM,2026-02-20 17:40:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-20,2026,2,February,17,Friday,False,Evening
1590,2026-00002260,1,02/20/2026 05:48 PM,2026-02-20 17:45:00,02/20/2026 05:48 PM,Employee reported a one vehicle crash with no injuries,NITTANY PARKING,2026-02-25 02:54:48,2026-02-20,2026,2,February,17,Friday,False,Evening
1591,PSHI-2026-02-I-134094,1,02/20/2026 04:53 PM,2026-02-20 16:46:00,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-20,2026,2,February,16,Friday,False,Afternoon
1592,PSHI-2026-02-I-134093,1,02/20/2026 03:51 PM,2026-02-20 11:49:00,,,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-25 02:54:48,2026-02-20,2026,2,February,11,Friday,False,Morning
1593,2026-00002257,1,02/20/2026 03:22 PM,2026-02-20 15:22:00,02/20/2026 06:38 PM,Officer conducted a security inspection,BRYCE JORDAN CENTER,2026-02-25 02:54:48,2026-02-20,2026,2,February,15,Friday,False,Afternoon
1594,2026-00002256,1,02/20/2026 02:09 PM,2026-01-17 20:36:00,02/16/2026 01:00 AM,Student reported the theft of their unsecured personal property,CURTIN HALL,2026-02-25 02:54:48,2026-01-17,2026,1,January,20,Saturday,True,Evening
1595,26AB00058,2,02/20/2026 12:11 PM,2026-02-20 02:00:00,02/20/2026 03:00 AM,Student reported being harassed,LIONS GATE AT PENN STATE ABINGTON,2026-02-25 02:54:48,2026-02-20,2026,2,February,2,Friday,False,Late Night
1596,PSHI-2026-02-I-134086,1,02/20/2026 11:00 AM,2026-02-20 10:36:00,,Assisted clinical staff with agitated visitor.,Hershey - Dispatched To: HMC - Children's Hospital - 7 - Women's Health Post \Antepartum > HMC - Children's Hospital - 7 - Women's Health Post \Antepartum,2026-02-25 02:54:48,2026-02-20,2026,2,February,10,Friday,False,Morning
