id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
283,26UP00651,1,02/07/2026 01:28 PM,02/07/2026 01:28 PM,02/07/2026 02:00 PM,Visitor requested assistance in locating a student,GEARY HALL,2026-02-18 21:43:32
284,26UP00650,1,02/07/2026 01:25 PM,02/07/2026 01:25 PM,02/07/2026 02:04 PM,Employee reported a one vehicle crash with no injuries,EAST PARKING DECK,2026-02-18 21:43:32
285,26UP00649,1,02/07/2026 12:27 PM,02/06/2026 02:45 PM,02/06/2026 03:10 PM,Student requested assistance with a personal matter,MCALLISTER BLDG,2026-02-18 21:43:32
286,PSHI-2026-02-I-133521,2,02/07/2026 09:30 AM,02/07/2026 05:41 AM,,Assisted clinical staff with actively eloping patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
287,26AB00047,2,02/07/2026 05:48 AM,02/07/2026 03:00 AM,02/07/2026 06:40 AM,Student reported disorderly persons,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
288,26UP00648,1,02/07/2026 04:45 AM,02/07/2026 04:45 AM,02/07/2026 05:25 AM,Underage student observed highly intoxicated and transported to the hospital,ROBINSON HALL,2026-02-18 21:43:32
289,26UP00647,1,02/07/2026 04:45 AM,02/07/2026 04:45 AM,02/07/2026 06:03 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,BIGLER RD & EISENHOWER RD,2026-02-18 21:43:32
290,26UP00646,1,02/07/2026 03:29 AM,02/07/2026 03:29 AM,02/07/2026 04:01 AM,Student observed highly intoxicated,MCKEAN HALL,2026-02-18 21:43:32
291,26UP00645,1,02/07/2026 03:08 AM,02/07/2026 03:08 AM,02/07/2026 03:33 AM,Student observed highly intoxicated and transported to the hospital,HIBBS HALL,2026-02-18 21:43:32
292,26UP00643,1,02/07/2026 02:43 AM,02/07/2026 02:43 AM,02/07/2026 05:43 AM,Student reported being physically assaulted by an identified person,SHORTLIDGE RD & POLLOCK RD,2026-02-18 21:43:32
293,26AL00068,3,02/07/2026 02:22 AM,02/07/2026 02:22 AM,02/07/2026 04:22 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,CEDAR LOT - PCE - ALTOONA,2026-02-18 21:43:32
294,PSHI-2026-02-I-133519,2,02/07/2026 02:04 AM,02/06/2026 11:27 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 5 - Acute Care > HMC - Main Hospital - 5 - Acute Care,2026-02-18 21:43:32
295,PSHI-2026-02-I-133518,2,02/07/2026 01:59 AM,02/06/2026 11:19 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-18 21:43:32
296,26UP00638,1,02/07/2026 01:26 AM,02/07/2026 01:16 AM,02/07/2026 01:26 AM,Student observed highly intoxicated,MCKEAN HALL,2026-02-18 21:43:32
297,26UP00684,1,02/07/2026 01:00 AM,02/09/2026 07:48 PM,02/09/2026 08:53 PM,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
298,26UP00637,1,02/07/2026 12:50 AM,02/07/2026 12:50 AM,02/07/2026 01:11 AM,Student observed highly intoxicated and transported to the hospital,STUART HALL,2026-02-18 21:43:32
299,26HB00060,13,02/07/2026 12:30 AM,02/07/2026 12:30 AM,02/07/2026 01:40 AM,Assisted an outside law enforcement agency with an investigation,W MAIN ST & N CATHERINE ST,2026-02-18 21:43:32
300,PSHI-2026-02-I-133516,2,02/07/2026 12:12 AM,02/06/2026 10:20 PM,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Children's Hospital - 4 - PICU > HMC - Children's Hospital - 4 - PICU,2026-02-18 21:43:32
301,26UP00634,1,02/06/2026 11:42 PM,02/06/2026 11:42 PM,02/06/2026 11:55 PM,"Resident Assistant reported the odor of marijuana, origin not located",PACKER HALL,2026-02-18 21:43:32
302,26UP00632,1,02/06/2026 11:36 PM,02/06/2026 11:36 PM,02/07/2026 12:16 AM,Identified occupants in possession of marijuana and drug paraphernalia,RUNKLE HALL,2026-02-18 21:43:32
303,26UP00631,1,02/06/2026 11:17 PM,02/06/2026 11:17 PM,02/07/2026 11:32 PM,"Resident Assistant reported the odor of marijuana, origin not located",MIFFLIN HALL,2026-02-18 21:43:32
304,26UP00630,1,02/06/2026 11:08 PM,02/06/2026 10:16 PM,02/06/2026 11:08 PM,Student reported damage to University property,GEARY HALL,2026-02-18 21:43:32
305,26HB00059,13,02/06/2026 10:01 PM,02/06/2026 09:00 PM,02/06/2026 09:30 PM,"Student reported the odor of marijuana, origin not located",MAHANOY HOUSE,2026-02-18 21:43:32
306,PSHI-2026-02-I-133509,2,02/06/2026 09:54 PM,02/06/2026 09:47 PM,,Assisted clinical staff with an escort.,Hershey - Dispatched To: HMC - Emergency Department - 1 - ED Obs Unit > HMC - Emergency Department - 1 - ED Obs Unit,2026-02-18 21:43:32
307,26UP00625,1,02/06/2026 09:53 PM,02/06/2026 09:53 PM,02/06/2026 10:39 PM,Student observed highly intoxicated and transported to the hospital,MCKEE HALL,2026-02-18 21:43:32
308,26UP00623,1,02/06/2026 08:29 PM,02/06/2026 08:29 PM,02/06/2026 10:14 PM,Visitor reported a concern for another person,E COLLEGE AVE,2026-02-18 21:43:32
309,26UP00619,1,02/06/2026 06:52 PM,02/05/2026 12:00 AM,02/06/2026 06:52 PM,Assisted an outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
310,PSHI-2026-02-I-133506,2,02/06/2026 05:34 PM,02/06/2026 04:52 PM,,Vendor damaged property.,Hershey - Dispatched To: HMC and COM - Central Plant > HMC and COM - Central Plant,2026-02-18 21:43:32
311,26UP00615,1,02/06/2026 05:07 PM,02/06/2026 05:07 PM,02/06/2026 05:40 PM,Employee reported a concern for another student,STUDENT HEALTH CENTER,2026-02-18 21:43:32
312,26AL00065,3,02/06/2026 04:42 PM,02/06/2026 04:19 PM,02/06/2026 04:54 PM,Assisted an outside law enforcement agency with an investigation,E PLEASANT VALLEY BLVD & GRANT ST,2026-02-18 21:43:32
313,26UP00616,1,02/06/2026 04:42 PM,02/06/2026 08:00 AM,02/06/2026 04:00 PM,Employee reported being harassed,N BURROWES RD,2026-02-18 21:43:32
314,PSHI-2026-02-I-133504,2,02/06/2026 04:21 PM,02/06/2026 03:44 PM,,Assisted clinical staff with a visitor issue.,Hershey - Dispatched To: HMC - Main Hospital - 3 - HVI\HVOC > HMC - Main Hospital - 3 - HVI\HVOC,2026-02-18 21:43:32
315,26BK00029,4,02/06/2026 03:29 PM,02/05/2026 06:00 PM,02/05/2026 07:00 PM,Student reported lost property,PERKINS STUDENT CENTER,2026-02-18 21:43:32
316,26SL00014,19,02/06/2026 03:11 PM,02/06/2026 03:11 PM,02/06/2026 03:33 PM,Assisted an outside law enforcement agency with an investigation,E MAIN ST,2026-02-18 21:43:32
317,26UP00612,1,02/06/2026 03:05 PM,02/06/2026 03:05 PM,02/06/2026 03:40 PM,Student reported suspicious activity,STUART HALL,2026-02-18 21:43:32
318,26ER00044,5,02/06/2026 03:03 PM,02/05/2026 12:00 AM,02/05/2026 11:59 PM,Student reported being harassed,REED BUILDING,2026-02-18 21:43:32
319,PSHI-2026-02-I-133496,2,02/06/2026 02:26 PM,02/06/2026 01:37 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
320,26HB00058,13,02/06/2026 01:53 PM,02/06/2026 01:53 PM,02/06/2026 02:16 PM,"Student reported the odor of marijuana, origin not located",MAHANOY HOUSE,2026-02-18 21:43:32
321,26AL00064,3,02/06/2026 01:34 PM,02/06/2026 01:34 PM,02/06/2026 02:03 PM,Student requested assistance with a personal matter,GRANDVIEW RD,2026-02-18 21:43:32
322,26UP00611,1,02/06/2026 01:12 PM,02/06/2026 01:12 PM,02/06/2026 01:52 PM,Student reported a two vehicle crash with no injuries,POWER PLANT,2026-02-18 21:43:32
323,26UP00610,1,02/06/2026 01:03 PM,02/06/2026 01:03 PM,02/06/2026 01:41 PM,Assisted the fire department with a reported fire alarm activation,RESEARCH DR,2026-02-18 21:43:32
324,PSHI-2026-02-I-133491,2,02/06/2026 12:27 PM,02/05/2026 07:27 PM,,Vendor and visitor issue resolved.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
325,26HB00057,13,02/06/2026 11:00 AM,02/06/2026 11:00 AM,02/06/2026 12:51 PM,Assisted a employee with a personal matter,STUDENT ENRICHMENT CENTER,2026-02-18 21:43:32
326,26BK00028,4,02/06/2026 10:19 AM,02/06/2026 10:19 AM,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32
327,26BK00027,4,02/06/2026 09:36 AM,02/06/2026 09:36 AM,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B2 - BERKS,2026-02-18 21:43:32
328,PSHI-2026-02-I-133486,2,02/06/2026 09:23 AM,02/06/2026 09:12 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
329,26AB00046,2,02/06/2026 09:12 AM,02/06/2026 09:00 AM,02/06/2026 09:30 AM,"Employee reported the odor of marijuana, origin not located",LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
330,26AL00063,3,02/06/2026 09:01 AM,02/06/2026 09:10 AM,02/06/2026 09:14 AM,Assisted an outside law enforcement agency with an investigation,BROADWAY & E PENN AVE,2026-02-18 21:43:32
331,26UP00609,1,02/06/2026 07:44 AM,02/06/2026 06:15 AM,,Employee reported a suspicious odor,ORANGE A KATZ LOT,2026-02-18 21:43:32
332,26UP00608,1,02/06/2026 07:38 AM,02/06/2026 07:38 AM,02/06/2026 08:30 AM,Visitor reported a two vehicle crash with no injuries,HOSPITAL DR,2026-02-18 21:43:32
333,PSHI-2026-02-I-133481,2,02/06/2026 05:24 AM,02/06/2026 05:13 AM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
334,PSHI-2026-02-I-133479,2,02/06/2026 04:36 AM,02/06/2026 03:50 AM,,Visitor medical emergency.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
335,26UP00607,1,02/06/2026 03:51 AM,02/06/2026 03:51 AM,02/06/2026 05:22 AM,Assisted an outside law enforcement agency with an investigation,HETZEL ST,2026-02-18 21:43:32
336,26UP00606,1,02/06/2026 02:43 AM,02/06/2026 02:43 AM,02/06/2026 03:09 AM,Underage student observed highly intoxicated and transported to the hospital,TENER HALL,2026-02-18 21:43:32
337,PSHI-2026-02-I-133477,2,02/06/2026 02:09 AM,02/06/2026 12:30 AM,,Assisted Law Enforcement with an intrusion alarm that was set off by cleaning crew.,Hershey - Dispatched To: HMC - 15 Hope Drive - HOSC > HMC - 15 Hope Drive - HOSC,2026-02-18 21:43:32
338,PSHI-2026-02-I-133475,2,02/06/2026 12:38 AM,02/06/2026 09:54 PM,,Walk of life.,Hershey - Dispatched To: HMC - Children's Hospital - 4 > HMC - Children's Hospital - 4,2026-02-18 21:43:32
339,26UP00602,1,02/06/2026 12:11 AM,02/06/2026 12:11 AM,02/06/2026 12:30 AM,Student observed highly intoxicated and transported to the hospital,MCELWAIN HALL,2026-02-18 21:43:32
340,PSHI-2026-02-I-133467,2,02/05/2026 10:38 PM,02/05/2026 09:12 PM,,Visitor mismatch to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
341,PSHI-2026-02-I-133465,2,02/05/2026 08:51 PM,02/05/2026 06:25 PM,,Safekeeping of Patient Medications.,Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,2026-02-18 21:43:32
342,26HB00055,13,02/05/2026 08:40 PM,02/05/2026 08:40 PM,02/05/2026 10:45 PM,Employee reported abandoned property,OLMSTED BUILDING,2026-02-18 21:43:32
343,26HN00007,15,02/05/2026 07:23 PM,02/04/2026 12:00 PM,02/04/2026 06:15 PM,Student reported being harassed,BUTLER BLDG,2026-02-18 21:43:32
344,26UP00592,1,02/05/2026 06:21 PM,02/05/2026 06:21 PM,02/05/2026 07:06 PM,Student reported suspicious odor,HOLMES HALL,2026-02-18 21:43:32
345,26UP00591,1,02/05/2026 06:14 PM,01/10/2026 12:00 AM,02/05/2026 07:38 PM,Student reported the theft of their unsecured / unattended personal property,CHACE HALL,2026-02-18 21:43:32
346,26HN00008,15,02/05/2026 06:09 PM,02/05/2026 06:09 PM,02/05/2026 06:15 PM,Employee reported a suspicious odor,KOSTOS BUILDING,2026-02-18 21:43:32
347,26UP00590,1,02/05/2026 05:54 PM,01/30/2026 12:00 AM,01/31/2026 12:00 AM,Assisted an outside agency with a reported Clery crime at an off campus location,ON CAMPUS PROPERTY,2026-02-18 21:43:32
348,26AB00045,2,02/05/2026 04:55 PM,02/05/2026 04:55 PM,02/05/2026 05:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
349,PSHI-2026-02-I-133459,2,02/05/2026 04:28 PM,02/05/2026 03:45 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 2 > HMC - Main Hospital - 2,2026-02-18 21:43:32
350,PSHI-2026-02-I-133458,2,02/05/2026 04:15 PM,02/05/2026 12:58 PM,,Assisted clinical staff with agitated visitor.,"Hershey - Dispatched To: HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG > HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG",2026-02-18 21:43:32
351,PSHI-2026-02-I-133457,2,02/05/2026 04:15 PM,02/05/2026 04:04 PM,,Assisted patient with property related matter.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2026-02-18 21:43:32
352,26LV00003,16,02/05/2026 04:15 PM,02/05/2026 09:00 AM,02/05/2026 11:00 AM,Student reported a hit and run vehicle crash,STUDENT PARKING LOT - LEHIGH VALLEY,2026-02-18 21:43:32
353,26DS00002,9,02/05/2026 04:09 PM,02/05/2026 04:09 PM,02/05/2026 06:00 PM,Student reported a concerning odor,COLLEGE PL & E DUBOIS AVE,2026-02-18 21:43:32
354,PSHI-2026-02-I-133455,2,02/05/2026 03:57 PM,02/05/2026 01:52 PM,,Asset and equipment accountability audit.,Hershey - Reported Location: HMC - Children's Hospital - 7 - Women's Health Post/Antepartum,2026-02-18 21:43:32
355,26BW00023,7,02/05/2026 03:33 PM,02/04/2026 09:45 AM,02/05/2026 03:55 PM,Employee reported a concern for another student,VAIRO LIBRARY,2026-02-18 21:43:32
356,26UP00588,1,02/05/2026 02:34 PM,02/05/2026 01:31 PM,02/05/2026 03:30 PM,Student reported a bicycle crash with injuries,WILLARD BLDG,2026-02-18 21:43:32
357,26UP00586,1,02/05/2026 02:19 PM,02/04/2026 04:19 PM,02/04/2026 05:00 PM,Employee reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
358,PSHI-2026-02-I-133450,2,02/05/2026 02:17 PM,02/05/2026 01:46 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
359,PSHI-2026-02-I-133448,2,02/05/2026 01:23 PM,02/05/2026 11:01 AM,,Property related matter.,Hershey - Dispatched To: HMC - Centerview Parking Garage > HMC - Centerview Parking Garage,2026-02-18 21:43:32
360,26AL00062,3,02/05/2026 01:13 PM,02/05/2026 10:02 AM,02/05/2026 10:04 AM,Employee reported a hit and run vehicle crash,ROSSMAN PARK,2026-02-18 21:43:32
361,26UP00585,1,02/05/2026 12:11 PM,01/31/2026 01:10 PM,01/31/2026 03:07 PM,Visitor reported the theft of their unattended personal property,COMMUTER JORDAN EAST 2 LOT,2026-02-18 21:43:32
362,26UP00583,1,02/05/2026 11:48 AM,02/04/2026 02:15 PM,,Student reported a two vehicle crash with no injuries,EAST PARKING DECK,2026-02-18 21:43:32
363,26UP00582,1,02/05/2026 11:24 AM,02/05/2026 01:45 AM,02/05/2026 10:30 AM,Employee reported damage to University property,HASTINGS HALL,2026-02-18 21:43:32
364,26AL00061,3,02/05/2026 11:17 AM,02/05/2026 11:17 AM,02/05/2026 11:22 AM,Employee reported a parking concern,RIDER LOT - ALTOONA,2026-02-18 21:43:32
365,26AL00060,3,02/05/2026 10:56 AM,02/05/2026 10:55 AM,02/05/2026 11:15 AM,Employee reported a two vehicle crash with no injuries,RIDER LOT - ALTOONA,2026-02-18 21:43:32
366,26AL00059,3,02/05/2026 10:39 AM,02/05/2026 10:39 AM,02/05/2026 10:50 AM,Visitor requested assistance with an administrative matter,POPLAR BLDG,2026-02-18 21:43:32
367,26ER00043,5,02/05/2026 08:20 AM,02/05/2026 08:19 AM,02/05/2026 08:30 AM,Employee reported a fire alarm activation,SENAT HALL,2026-02-18 21:43:32
368,26UP00581,1,02/05/2026 08:12 AM,02/05/2026 08:12 AM,02/05/2026 03:50 PM,Student requested assistance with a personal matter,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
369,26BK00026,4,02/05/2026 07:50 AM,02/05/2026 07:50 AM,,Employee reported a burglary alarm activation,PERKINS STUDENT CENTER,2026-02-18 21:43:32
370,PSHI-2026-02-I-133435,2,02/05/2026 06:03 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
371,26UP00580,1,02/05/2026 05:36 AM,02/05/2026 05:36 AM,02/05/2026 06:05 AM,Student stopped and found in possession of drug paraphernalia,E PARK AVE & HOSPITAL DR,2026-02-18 21:43:32
372,26UP00579,1,02/05/2026 02:06 AM,02/05/2026 01:30 AM,02/05/2026 02:45 AM,Underage student observed highly intoxicated,HIESTER HALL,2026-02-18 21:43:32
373,26UP00578,1,02/05/2026 01:20 AM,02/04/2026 11:00 PM,02/05/2026 02:38 AM,Student reported a concern for another student,BEAVER HALL,2026-02-18 21:43:32
374,PSHI-2026-02-I-133426,2,02/05/2026 12:52 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
375,PSHI-2026-02-I-133423,2,02/05/2026 12:34 AM,02/04/2026 11:45 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-18 21:43:32
376,26UP00577,1,02/05/2026 12:27 AM,02/05/2026 12:27 AM,02/05/2026 01:00 AM,Underage student observed highly intoxicated,PENNYPACKER HALL,2026-02-18 21:43:32
377,26HB00054,13,02/04/2026 10:45 PM,02/04/2026 10:45 PM,02/05/2026 12:10 AM,Student requested assistance with a civil matter,MAHANOY HOUSE,2026-02-18 21:43:32
378,26AB00044,2,02/04/2026 10:15 PM,02/04/2026 10:15 PM,02/04/2026 11:50 PM,Employee reported a concerning odor/gas leak,LARES BUILDING,2026-02-18 21:43:32
379,26AB00043,2,02/04/2026 09:47 PM,02/04/2026 09:47 PM,02/04/2026 10:01 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
380,26UP00574,1,02/04/2026 08:19 PM,02/04/2026 08:19 PM,02/04/2026 08:56 PM,Employee reported damage to University property,STUART HALL,2026-02-18 21:43:32
381,26WS00005,22,02/04/2026 07:34 PM,02/04/2026 07:30 PM,,Employee reported a two vehicle crash with no injuries,RIDGE VIEW DR,2026-02-18 21:43:32
382,26AB00042,2,02/04/2026 07:12 PM,02/04/2026 07:12 PM,02/04/2026 07:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32
383,PSHI-2026-02-I-133415,2,02/04/2026 04:49 PM,02/04/2026 02:50 PM,,Property related matter.,Hershey - Dispatched To: HMC - Parking Lot - Lot J > HMC - Parking Lot - Lot J,2026-02-18 21:43:32
384,26BK00025,4,02/04/2026 04:40 PM,02/04/2026 01:00 PM,02/04/2026 03:00 PM,Student reported being harassed,LUERSSEN SCIENCE BUILDING,2026-02-18 21:43:32
385,26UP00572,1,02/04/2026 04:04 PM,08/30/2025 12:00 PM,08/30/2025 06:00 PM,Student reported they were indecently assaulted by a known person at a University Building,BEAVER STADIUM,2026-02-18 21:43:32
386,26UP00571,1,02/04/2026 03:53 PM,02/04/2026 03:53 PM,02/04/2026 03:59 PM,Employee requested assistance with a civil matter,HUB PARKING DECK,2026-02-18 21:43:32
387,PSHI-2026-02-I-133413,2,02/04/2026 03:45 PM,02/04/2026 03:10 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HPD - Emergency Department > HPD - Emergency Department,2026-02-18 21:43:32
388,PSHI-2026-02-I-133411,2,02/04/2026 02:45 PM,02/04/2026 01:53 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
389,26HB00053,13,02/04/2026 02:26 PM,02/04/2026 02:26 PM,,Student reported a two vehicle crash with no injuries,1ST ST & OLMSTEAD DR,2026-02-18 21:43:32
390,26BK00024,4,02/04/2026 01:47 PM,02/04/2026 01:47 PM,02/04/2026 02:05 PM,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32
391,26AB00041,2,02/04/2026 01:43 PM,02/04/2026 01:43 PM,02/04/2026 02:17 PM,Employee reported a parking concern,LOT G - ABINGTON,2026-02-18 21:43:32
392,PSHI-2026-02-I-133409,2,02/04/2026 01:21 PM,02/04/2026 12:15 PM,,Patient punched security officer.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
393,PSHI-2026-02-I-133408,2,02/04/2026 12:59 PM,02/04/2026 12:46 PM,,Visitor match to the sex offender registry.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,2026-02-18 21:43:32
394,26WS00004,22,02/04/2026 12:34 PM,02/04/2026 12:30 PM,02/04/2026 01:06 PM,Assisted the ambulance with a medical emergency,STUDENT STUDY - LEARNING CENTER,2026-02-18 21:43:32
395,26UP00570,1,02/04/2026 11:30 AM,02/04/2026 11:30 AM,02/04/2026 01:59 PM,Assisted the ambulance with a medical emergency,RESEARCH DR,2026-02-18 21:43:32
396,26UP00569,1,02/04/2026 11:23 AM,02/04/2026 11:23 AM,02/04/2026 12:55 PM,Assisted an outside law enforcement agency with an investigation,E PARK AVE & HOSPITAL DR,2026-02-18 21:43:32
397,26UP00568,1,02/04/2026 11:18 AM,02/04/2026 09:40 AM,02/04/2026 11:20 AM,Student reported a hit and run vehicle crash,NITTANY PARKING,2026-02-18 21:43:32
398,26AL00058,3,02/04/2026 11:07 AM,02/04/2026 11:07 AM,02/04/2026 11:18 AM,Employee reported an alarm activation,SLEP STUDENT CENTER,2026-02-18 21:43:32
399,26UP00567,1,02/04/2026 10:56 AM,02/04/2026 10:41 AM,,Employee reported theft of services,EAST PARKING DECK,2026-02-18 21:43:32
400,PSHI-2026-02-I-133403,2,02/04/2026 09:27 AM,02/04/2026 07:52 AM,,Vehicle incident.,Hershey - Dispatched To: HMC - 30 Hope Drive > HMC - 30 Hope Drive,2026-02-18 21:43:32
401,26BW00022,7,02/04/2026 09:20 AM,02/04/2026 09:20 AM,02/04/2026 09:25 AM,Employee reported unsafe conditions,VAIRO PARKING LOT - BRANDYWINE,2026-02-18 21:43:32
402,26ER00042,5,02/04/2026 08:28 AM,02/04/2026 08:28 AM,,Employee reported suspicious activity,COLLEGE DR,2026-02-18 21:43:32
403,26BW00021,7,02/04/2026 03:11 AM,02/04/2026 03:11 AM,02/04/2026 03:52 AM,Student requested assistance with a civil matter,ORCHARD HALL,2026-02-18 21:43:32
404,PSHI-2026-02-I-133394,2,02/04/2026 01:26 AM,02/04/2026 12:47 AM,,Assisted clinical staff with agitated visitor,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
405,PSHI-2026-02-I-133393,2,02/04/2026 01:21 AM,02/04/2026 12:23 AM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
406,PSHI-2026-02-I-133392,2,02/04/2026 01:13 AM,02/03/2026 10:25 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
407,26HB00052,13,02/03/2026 11:40 PM,02/03/2026 11:45 PM,02/03/2026 11:59 PM,Assisted an outside law enforcement agency with an investigation,E HIGH ST,2026-02-18 21:43:32
408,PSHI-2026-02-I-133389,2,02/03/2026 11:34 PM,02/02/2026 09:05 PM,,Assisted clinical staff with a patient stand-by.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
409,26BW00020,7,02/03/2026 11:19 PM,02/03/2026 11:19 PM,02/03/2026 11:30 PM,Employee reported an intrusion alarm activation,MAIN BUILDING,2026-02-18 21:43:32
410,26AL00057,3,02/03/2026 08:45 PM,02/03/2026 08:45 PM,02/03/2026 09:10 PM,Assisted the ambulance with a medical emergency,CEDAR HALL,2026-02-18 21:43:32
411,26UP00564,1,02/03/2026 08:36 PM,02/03/2026 08:36 PM,02/03/2026 11:08 PM,Assisted an outside law enforcement agency with an investigation,KIRKBRIDE DR,2026-02-18 21:43:32
412,PSHI-2026-02-I-133383,2,02/03/2026 08:04 PM,02/03/2026 06:37 PM,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
413,PSHI-2026-02-I-133382,2,02/03/2026 07:45 PM,02/03/2026 06:40 PM,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
414,26BK00023,4,02/03/2026 05:49 PM,01/28/2026 12:00 AM,02/03/2026 05:49 PM,Student reported being harassed,AMBER HALL,2026-02-18 21:43:32
415,26BW00024,7,02/03/2026 05:00 PM,02/03/2026 05:00 PM,02/03/2026 05:15 PM,Assisted an outside law enforcement agency with an investigation,COMMONS & ATHLETIC CENTER,2026-02-18 21:43:32
416,26BW00019,7,02/03/2026 04:44 PM,01/12/2026 12:00 AM,02/03/2026 06:32 PM,Student reported being harassed,MAIN BUILDING,2026-02-18 21:43:32
417,PSHI-2026-02-I-133377,2,02/03/2026 04:34 PM,02/03/2026 01:12 PM,,Release/return of personal property to patient.,Hershey - Dispatched To: HMC - Emergency Department - 1 - Emergency Department > HMC - Emergency Department - 1 - Emergency Department,2026-02-18 21:43:32
418,26SL00013,19,02/03/2026 04:11 PM,02/03/2026 04:07 PM,02/03/2026 05:30 PM,Assisted an outside law enforcement agency with an investigation,PA-61,2026-02-18 21:43:32
419,26UP00563,1,02/03/2026 03:46 PM,12/23/2025 04:00 PM,01/21/2026 04:00 PM,Student reported the theft of University property,HAMMOND BLDG,2026-02-18 21:43:32
420,26UP00562,1,02/03/2026 03:44 PM,02/03/2026 03:44 PM,02/03/2026 04:23 PM,Student reported damage to personal property,GRUBB HALL,2026-02-18 21:43:32
421,26BK00022,4,02/03/2026 03:09 PM,02/03/2026 03:09 PM,02/03/2026 04:20 PM,Assisted an outside law enforcement agency with an investigation,PA-12 & US-422,2026-02-18 21:43:32
